features,labels,item_list
"[8.0, 12.0, 2.0, 1.0, 0.5, 0.5, 2.5, 1.0, 2.0, 2.0, 1.5, 2.0, 2.5, 2.0]","[5.593356205927288, 3.9672524771355335, 1.6569621199504236, 9.995680738345722, 2.7238263915004266, 1.3356784367331873, 5.189404975597604, 9.870073673818489, 0.6173051701605425, 6.458796246255644, 5.386415882969311, 5.594798955982101]","['MediaUnit', 'FloorLamp', 'Bookcase', 'Closet', 'CoffeeTable', 'Couch']"
"[8.0, 12.0, 2.0, 2.0, 1.0, 1.0, 1.5, 1.0, 2.0, 2.5, 0.0, 0.0, 0.0, 0.0]","[4.291076500251381, 0.21372328730242085, 0.7737101143350169, 7.074361470634642, 3.825820449295238, 3.2853215091343038, 1.4778479880016895, 1.7830943159398445, 0.0, 0.0, 0.0, 0.0]","['Closet', 'Armchair', 'WorkDesk', 'Couch']"
"[8.0, 11.0, 1.5, 1.0, 1.0, 1.0, 0.5, 0.5, 1.0, 2.5, 2.0, 1.0, 0.0, 0.0]","[0.8885148685765833, 0.8051050613440103, 6.512680835508994, 2.815940228218526, 5.258477105621091, 4.532073640366719, 3.0822682358453375, 0.027596726168037655, 1.4751392693316885, 4.060073685742559, 0.0, 0.0]","['WorkDesk', 'Armchair', 'FloorLamp', 'Bookcase', 'MediaUnit']"
"[8.0, 8.0, 2.0, 2.0, 1.0, 2.5, 1.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.3926002314251447, 4.88845870679189, 6.336706561635004, 4.045874091256534, 3.2536260923221696, 3.2663627242391486, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Closet', 'Bookcase', 'WorkDesk']"
"[8.0, 11.0, 2.0, 2.0, 2.0, 2.5, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.246082399502545, 3.770799094544741, 0.2221087730918625, 4.061184221691564, 4.015583264838423, 0.39710817411574584, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Closet', 'Couch', 'MediaUnit']"
"[9.0, 9.0, 0.5, 0.5, 2.0, 2.0, 2.5, 1.0, 2.0, 1.5, 2.0, 2.5, 1.0, 1.0]","[2.116701266932506, 8.245140994636651, 0.38229360335799634, 3.890254363782264, 6.085857293168685, 0.7515204731664697, 5.897384300999068, 2.432773176251351, 2.4274423177553963, 3.5277332796161045, 2.1673058030359877, 7.024450359039145]","['FloorLamp', 'Closet', 'Bookcase', 'CoffeeTable', 'Couch', 'Armchair']"
"[9.0, 8.0, 1.0, 2.5, 1.5, 1.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.0323011914559714, 2.798222888340403, 5.83776544144533, 1.0759626012621413, 3.480744907668195, 5.38667882448069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Bookcase', 'Chest', 'Closet']"
"[9.0, 11.0, 1.5, 1.0, 1.0, 2.5, 2.0, 1.5, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0]","[1.296133417162585, 5.776454074730278, 4.175949239605792, 4.2411703929869455, 5.059503966100704, 0.849284060298368, 5.964261693402588, 5.6320890291886725, 0.0, 0.0, 0.0, 0.0]","['WorkDesk', 'Bookcase', 'CoffeeTable', 'Closet']"
"[11.0, 12.0, 0.5, 0.5, 1.5, 1.0, 2.5, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.97001672343163, 4.532956268120927, 1.024428157822034, 0.7281864042103426, 3.551320364471526, 0.4878382765841105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['FloorLamp', 'WorkDesk', 'Couch']"
"[8.0, 8.0, 1.0, 1.5, 2.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9386009948683659, 0.6190122206600859, 5.162983874467273, 1.0951637540762302, 2.976339969877672, 6.35447963744689, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['WorkDesk', 'Closet', 'MediaUnit']"
"[9.0, 12.0, 1.0, 2.5, 1.0, 1.0, 1.0, 1.5, 2.5, 2.0, 0.5, 0.5, 1.5, 1.0]","[2.467652151985014, 9.094279774978059, 3.4519154823987437, 7.705090328237039, 0.36646984974712726, 5.732071933152779, 4.635826721951295, 6.764414203312709, 2.034466589364984, 7.826588963521393, 2.890565948158941, 6.255594373214269]","['Bookcase', 'Armchair', 'WorkDesk', 'Couch', 'FloorLamp', 'Chest']"
"[12.0, 12.0, 1.5, 2.0, 1.0, 1.0, 2.5, 2.0, 2.5, 1.0, 0.0, 0.0, 0.0, 0.0]","[7.2749918676338705, 0.4690695256238886, 9.266347356478278, 6.816581578216315, 6.73841767297093, 8.03790691036706, 2.707744724519405, 8.014881594683313, 0.0, 0.0, 0.0, 0.0]","['CoffeeTable', 'Armchair', 'Couch', 'Bookcase']"
"[11.0, 11.0, 1.0, 2.5, 1.0, 1.5, 0.5, 0.5, 2.0, 2.0, 1.0, 2.0, 0.0, 0.0]","[4.269909998472152, 2.6477502735509044, 1.7788868592541496, 7.728417819279417, 4.653490168048717, 1.5984521940596972, 7.817891422379346, 7.299971275027831, 3.2974142724342914, 5.389379687655227, 0.0, 0.0]","['Bookcase', 'WorkDesk', 'FloorLamp', 'Closet', 'MediaUnit']"
"[8.0, 11.0, 1.5, 1.0, 1.5, 1.0, 2.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.2160219279783577, 4.678589048415808, 3.5227035455040188, 2.963551169661378, 0.80655332293329, 1.140338089970228, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['Chest', 'WorkDesk', 'CoffeeTable']"
"[10.0, 10.0, 1.0, 1.0, 2.0, 1.5, 1.5, 1.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0]","[4.516507224829597, 5.363367126585624, 1.2818886432321426, 5.823232313475172, 6.161610430336608, 7.91148430267112, 7.188687554153645, 0.16171077842014725, 0.0, 0.0, 0.0, 0.0]","['Armchair', 'CoffeeTable', 'WorkDesk', 'MediaUnit']"
